CVEGEO	beds_PAFIL_IPRIV	beds_PAFIL_PDOM	beds_PDER_IMSS	beds_PDER_IMSSB	beds_PDER_ISTE	beds_PDER_SEGP	clinics_PAFIL_IPRIV	clinics_PAFIL_PDOM	clinics_PDER_IMSS	clinics_PDER_IMSSB	clinics_PDER_ISTE	clinics_PDER_SEGP	derechohabientes_PAFIL_IPRIV	derechohabientes_PAFIL_PDOM	derechohabientes_PDER_IMSS	derechohabientes_PDER_IMSSB	derechohabientes_PDER_ISTE	derechohabientes_PDER_SEGP	POBTOT
01001	0	0	369	0	1	0	0	0	357	2	18	0	9314	636	269341	1113	21760	161077	607934
01002	0	30	328	0	83	0	0	2	266	7	62	0	26643	2695	673692	1541	82940	212310	1208793
01003	0	30	625	22	82	0	0	2	562	16	57	0	31656	2732	662854	2281	74307	181707	1161252
01004	0	0	0	0	0	0	0	0	6	3	5	0	288	81	28351	84	6875	31104	84019
01005	0	30	328	0	83	0	0	2	264	0	58	0	26464	2961	646974	1358	75985	182323	1126435
01006	0	0	297	0	1	0	0	0	307	0	5	0	5582	256	158589	312	16956	92602	332868
01007	0	0	0	0	0	0	0	0	6	5	7	0	430	79	47222	136	9384	51184	131501
01008	0	0	297	22	0	0	0	0	311	16	9	0	5714	590	134592	1363	21460	104046	332920
01009	0	0	0	0	0	0	0	0	15	4	11	0	811	139	74345	187	19456	86678	223444
01010	0	30	400	0	82	0	0	2	305	1	67	0	27334	2706	697723	1490	73810	185405	1206517
01011	0	30	625	0	82	0	0	2	565	0	57	0	30918	2727	689150	1291	78272	176843	1178101
02001	0	56	1189	20	110	0	0	17	480	22	92	0	121973	7143	1791817	17593	127406	410407	3325213
02002	0	92	218	0	36	0	0	25	107	7	49	0	19151	7451	343539	3619	37800	156377	751268
02003	0	148	1270	0	139	0	0	42	478	15	121	0	124039	11767	1851156	13818	139865	434737	3416122
02004	0	92	178	0	29	0	0	25	110	8	40	0	17082	7741	303806	4691	32876	155577	679137
02005	0	122	878	0	72	0	0	27	309	9	80	0	82180	8717	1274889	9850	85301	292490	2366330
02006	0	103	163	0	39	0	0	29	90	8	53	0	10257	8369	237263	2352	33937	116277	507829
03001	0	126	126	0	190	0	0	29	105	3	123	0	5973	8920	173403	1611	71015	66775	374315
03002	0	0	36	20	24	0	0	0	32	14	26	0	1142	2585	79938	3974	21176	58193	208641
03003	0	0	130	0	24	0	0	0	106	1	34	0	6362	1852	235453	1965	30730	72567	424132
