CVEGEO	ola	defunciones	casos_totales	cfr
01001	01_ola_1	347	3641	9.530348805273277
01001	02_interola_1	497	4305	11.544715447154472
01001	03_ola_2	1218	12787	9.525299131930867
01001	04_interola_2	122	1377	8.859840232389251
01001	05_ola_3	370	7448	4.967776584317938
01001	06_interola_3	92	2209	4.164780443639656
01001	07_ola_4	348	24849	1.4004587709766994
01002	01_ola_1	7	82	8.536585365853659
01002	02_interola_1	4	59	6.779661016949152
01002	03_ola_2	28	301	9.30232558139535
01002	04_interola_2	1	22	4.545454545454546
01002	05_ola_3	7	101	6.930693069306931
01002	06_interola_3	2	33	6.0606060606060606
01002	07_ola_4	11	449	2.4498886414253898
01003	01_ola_1	5	134	3.7313432835820897
01003	02_interola_1	4	113	3.5398230088495577
01003	03_ola_2	17	712	2.3876404494382024
01003	04_interola_2	1	22	4.545454545454546
01003	05_ola_3	7	180	3.888888888888889
01003	06_interola_3	4	80	5
01003	07_ola_4	10	332	3.0120481927710845
01004	01_ola_1	1	74	1.3513513513513513
01004	02_interola_1	1	17	5.882352941176471
01004	03_ola_2	10	32	31.25
01004	04_interola_2	0	7	0
01004	05_ola_3	0	9	0
01004	06_interola_3	2	6	33.333333333333336
01004	07_ola_4	6	53	11.320754716981131
01005	01_ola_1	7	163	4.294478527607362
01005	02_interola_1	22	197	11.16751269035533
01005	03_ola_2	30	374	8.0213903743315509
01005	04_interola_2	3	46	6.521739130434782
01005	05_ola_3	22	304	7.2368421052631575
01005	06_interola_3	5	94	5.319148936170213
01005	07_ola_4	20	623	3.2102728731942216
01006	01_ola_1	9	176	5.113636363636363
01006	02_interola_1	23	195	11.794871794871796
01006	03_ola_2	29	471	6.1571125265392785
01006	04_interola_2	1	21	4.761904761904762
01006	05_ola_3	12	150	8
01006	06_interola_3	3	54	5.555555555555555
01006	07_ola_4	9	613	1.468189233278956
01007	01_ola_1	9	325	2.769230769230769
01007	02_interola_1	11	163	6.748466257668712
01007	03_ola_2	34	185	18.37837837837838
01007	04_interola_2	4	26	15.384615384615385
01007	05_ola_3	12	183	6.557377049180328
01007	06_interola_3	9	100	9
01007	07_ola_4	9	309	2.912621359223301
01008	01_ola_1	1	52	1.9230769230769231
01008	02_interola_1	0	9	0
01008	03_ola_2	6	53	11.320754716981131
01008	04_interola_2	0	6	0
01008	05_ola_3	1	30	3.3333333333333335
01008	06_interola_3	0	2	0
01008	07_ola_4	3	33	9.090909090909092
01009	01_ola_1	3	121	2.479338842975207
01009	02_interola_1	1	49	2.0408163265306123
01009	03_ola_2	12	84	14.285714285714286
01009	04_interola_2	0	2	0
01009	05_ola_3	7	61	11.475409836065573
01009	06_interola_3	3	20	15
01009	07_ola_4	8	117	6.837606837606837
01010	01_ola_1	3	16	18.75
01010	02_interola_1	4	10	40
01010	03_ola_2	5	31	16.129032258064516
01010	04_interola_2	3	9	33.333333333333336
01010	05_ola_3	4	32	12.5
01010	06_interola_3	3	25	12
01010	07_ola_4	1	103	0.970873786407767
01011	01_ola_1	9	53	16.9811320754717
01011	02_interola_1	3	39	7.6923076923076925
01011	03_ola_2	10	151	6.622516556291391
01011	04_interola_2	1	12	8.333333333333334
01011	05_ola_3	8	98	8.16326530612245
01011	06_interola_3	4	35	11.428571428571429
01011	07_ola_4	7	144	4.861111111111111
01999	01_ola_1	0	1	0
01999	02_interola_1	0	0	NA
01999	03_ola_2	0	0	NA
01999	04_interola_2	0	0	NA
01999	05_ola_3	0	1	0
01999	06_interola_3	0	0	NA
01999	07_ola_4	0	0	NA
02001	01_ola_1	323	2317	13.94044022442814
02001	02_interola_1	169	1484	11.388140161725067
02001	03_ola_2	768	5022	15.292712066905615
02001	04_interola_2	29	224	12.946428571428571
02001	05_ola_3	250	3385	7.385524372230428
02001	06_interola_3	214	3555	6.019690576652602
02001	07_ola_4	234	7493	3.122914720405712
02002	01_ola_1	1697	8442	20.10187159440891
02002	02_interola_1	304	2678	11.35175504107543
02002	03_ola_2	1139	7273	15.660662725147807
02002	04_interola_2	142	1873	7.581420181526962
02002	05_ola_3	333	5767	5.774232703311947
02002	06_interola_3	472	8437	5.594405594405594
02002	07_ola_4	285	13129	2.170767004341534
02003	01_ola_1	86	461	18.655097613882862
02003	02_interola_1	33	379	8.70712401055409
02003	03_ola_2	116	718	16.15598885793872
02003	04_interola_2	4	39	10.256410256410257
02003	05_ola_3	16	459	3.485838779956427
02003	06_interola_3	36	830	4.337349397590361
02003	07_ola_4	24	2131	1.1262318160488034
02004	01_ola_1	1639	5222	31.386441976254307
02004	02_interola_1	394	2855	13.800350262697023
02004	03_ola_2	1758	9128	19.259421560035058
02004	04_interola_2	88	890	9.887640449438202
02004	05_ola_3	441	5609	7.8623640577643075
02004	06_interola_3	532	7973	6.672519754170325
02004	07_ola_4	561	22161	2.5314742114525517
02005	01_ola_1	37	231	16.017316017316016
02005	02_interola_1	20	199	10.050251256281408
02005	03_ola_2	56	616	9.090909090909092
02005	04_interola_2	3	41	7.317073170731708
02005	05_ola_3	31	515	6.019417475728155
